,Target,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Sex_F,Sex_I,Sex_M,water,ratio,new6,a2
20,11,0.355,0.28,0.095,2,0.0955,0.062,0.075,0,0,1,0.7675000000000001,0.0955,0.24449999999999997,-0.2523777634684144
21,10,0.38,0.275,0.1,2,0.08,0.049,0.085,0,1,0,0.786,0.08,0.29,-0.3481453327718968
22,12,0.565,0.44,0.155,3,0.4275,0.214,0.27,1,0,0,1.0885,0.21375,0.4225000000000001,-0.6659235465540262
23,9,0.55,0.415,0.135,3,0.318,0.21,0.2,1,0,0,1.272,0.159,0.35200000000000004,-0.46315176427838806
24,10,0.615,0.48,0.165,4,0.513,0.301,0.305,1,0,0,1.881,0.171,0.42699999999999994,-0.6391716865048498
25,11,0.56,0.44,0.14,3,0.3825,0.188,0.3,1,0,0,1.1295,0.19125,0.4975,-0.7974878497359363
26,11,0.58,0.45,0.185,3,0.3945,0.272,0.285,1,0,0,1.0485,0.19725,0.5454999999999999,-0.8634653825798317
27,12,0.59,0.445,0.14,3,0.356,0.234,0.28,0,0,1,1.13,0.178,0.4840000000000001,-0.7462035656154071
28,15,0.605,0.475,0.18,3,0.394,0.219,0.295,0,0,1,1.092,0.197,0.5559999999999999,-0.8958204108643173
29,11,0.575,0.425,0.14,3,0.393,0.227,0.2,0,0,1,1.18,0.1965,0.28700000000000003,-0.3733879576585729
30,10,0.58,0.47,0.165,3,0.3935,0.242,0.33,0,0,1,1.0345,0.19675,0.5965,-0.9852802493999241
31,15,0.68,0.56,0.165,4,0.6055,0.2805,0.46,1,0,0,1.654,0.20183333333333334,0.6445,-1.0975976648313717
32,18,0.665,0.525,0.165,4,0.5515,0.3575,0.35,0,0,1,1.741,0.18383333333333332,0.47850000000000004,-0.774598070481248
33,19,0.68,0.55,0.175,4,0.815,0.3925,0.455,1,0,0,1.3375,0.27166666666666667,0.44500000000000006,-0.8721963947482944
34,13,0.705,0.55,0.2,4,0.633,0.4115,0.49,1,0,0,1.4655,0.211,0.7469999999999999,-1.229429733994567
35,8,0.465,0.355,0.105,2,0.227,0.124,0.125,0,0,1,0.524,0.227,0.23299999999999996,-0.29769250756997145
36,16,0.54,0.475,0.155,4,0.5305,0.3075,0.34,1,0,0,1.822,0.17683333333333331,0.4595,-0.738735642376075
37,8,0.45,0.355,0.105,3,0.237,0.1165,0.145,1,0,0,1.5015,0.1185,0.263,-0.23039994102136094
38,11,0.575,0.445,0.135,3,0.381,0.2035,0.26,1,0,0,1.1555,0.1905,0.40900000000000003,-0.6276128845996918
39,9,0.355,0.29,0.09,2,0.134,0.086,0.09,0,0,1,0.69,0.134,0.22599999999999998,-0.2305190739960275
40,9,0.45,0.335,0.105,2,0.1865,0.091,0.115,1,0,0,0.6075,0.1865,0.2535,-0.31133213261934656
41,14,0.55,0.425,0.135,3,0.362,0.196,0.27,1,0,0,1.172,0.181,0.44800000000000006,-0.6854834414438506
42,5,0.24,0.175,0.045,2,0.0315,0.0235,0.02,0,1,0,0.925,0.0315,0.0985,0.2575201854382598
43,5,0.205,0.15,0.055,2,0.0255,0.015,0.012,0,1,0,0.9475,0.0255,0.10850000000000001,0.21069896265289806
44,4,0.21,0.15,0.05,2,0.0175,0.0125,0.015,0,1,0,0.955,0.0175,0.1125,0.19549689481308236
45,7,0.39,0.295,0.095,2,0.0875,0.045,0.075,0,1,0,0.7925,0.0875,0.25249999999999995,-0.25929702237000024
46,9,0.47,0.37,0.12,3,0.293,0.227,0.14,0,0,1,1.3399999999999999,0.1465,0.22700000000000004,-0.18002241025622873
47,7,0.46,0.375,0.12,2,0.1775,0.11,0.15,1,0,0,0.5625,0.1775,0.36250000000000004,-0.6061761947489255
48,6,0.325,0.245,0.07,2,0.0755,0.0255,0.045,0,1,0,0.854,0.0755,0.15450000000000003,0.03533089437201763
49,9,0.525,0.425,0.16,3,0.3545,0.2135,0.245,1,0,0,1.187,0.17725,0.45550000000000007,-0.6964196846725383
50,8,0.52,0.41,0.12,3,0.2385,0.111,0.19,0,1,0,1.4605000000000001,0.11925,0.3815,-0.5006417721652274
51,7,0.4,0.32,0.095,2,0.1335,0.06,0.1,0,0,1,0.7065,0.1335,0.2565,-0.3135600811483134
52,10,0.485,0.36,0.13,3,0.2595,0.096,0.16,0,0,1,1.4845,0.12975,0.32050000000000006,-0.3428106099696615
53,10,0.47,0.36,0.12,2,0.2105,0.1055,0.15,1,0,0,0.534,0.2105,0.3295,-0.5201729602187259
54,7,0.405,0.31,0.1,2,0.173,0.0915,0.11,0,0,1,0.6255000000000001,0.173,0.24700000000000005,-0.28897212791038657
55,8,0.5,0.4,0.14,3,0.2565,0.1755,0.22,1,0,0,1.3479999999999999,0.12825,0.46349999999999997,-0.6680831045616659
56,8,0.445,0.35,0.12,2,0.192,0.0955,0.135,0,0,1,0.5775,0.192,0.318,-0.4882684763772943
57,8,0.47,0.385,0.135,3,0.2765,0.12,0.17,0,0,1,1.4335,0.13825,0.3335000000000001,-0.41175234986103637
58,4,0.245,0.19,0.06,2,0.042,0.014,0.025,0,1,0,0.919,0.042,0.12799999999999997,0.13268873248691213
59,7,0.505,0.4,0.125,3,0.246,0.13,0.175,1,0,0,1.449,0.123,0.354,-0.44231722133864604
60,7,0.45,0.345,0.105,2,0.18,0.1125,0.135,0,0,1,0.5725,0.18,0.3,-0.4382663256262178
61,9,0.505,0.405,0.11,3,0.305,0.16,0.175,0,0,1,1.36,0.1525,0.26499999999999996,-0.29901731198147496
62,10,0.53,0.41,0.13,3,0.302,0.1935,0.2,1,0,0,1.3045,0.151,0.35800000000000004,-0.47376842664785956
63,7,0.425,0.325,0.095,2,0.1705,0.08,0.1,0,0,1,0.6495,0.1705,0.2195,-0.22233021709242057
64,8,0.52,0.4,0.12,3,0.234,0.1315,0.185,0,0,1,1.4495,0.117,0.376,-0.4764175505541157
65,8,0.475,0.355,0.12,2,0.234,0.1015,0.135,0,0,1,0.5295,0.234,0.276,-0.39331554312048367
66,12,0.565,0.44,0.16,3,0.354,0.1935,0.32,1,0,0,1.1325,0.177,0.606,-0.9690934211975537
67,13,0.595,0.495,0.185,4,0.416,0.224,0.485,1,0,0,1.875,0.13866666666666666,0.9239999999999999,-1.4363842426940732
68,10,0.475,0.39,0.12,3,0.2135,0.1155,0.17,1,0,0,1.501,0.10675,0.36650000000000005,-0.4623023377316837
69,6,0.31,0.235,0.07,2,0.063,0.0405,0.045,0,1,0,0.8514999999999999,0.063,0.167,-0.0007630408105059466
70,13,0.555,0.425,0.13,3,0.264,0.168,0.275,0,0,1,1.293,0.132,0.546,-0.8267999736383913
71,8,0.4,0.32,0.11,2,0.1405,0.0985,0.1,1,0,0,0.661,0.1405,0.2795,-0.3688329699951463
72,20,0.595,0.475,0.17,4,0.48,0.225,0.425,1,0,0,1.87,0.16,0.71,-1.1108313461193433
73,11,0.57,0.48,0.175,4,0.474,0.261,0.38,0,0,1,1.885,0.158,0.6359999999999999,-0.9982148412129745
74,13,0.605,0.45,0.195,4,0.481,0.2895,0.315,1,0,0,1.9145,0.16033333333333333,0.539,-0.7742683153490726
75,15,0.6,0.475,0.15,4,0.4425,0.221,0.28,1,0,0,2.0564999999999998,0.1475,0.4175000000000001,-0.594479638558789
76,9,0.595,0.475,0.14,3,0.3625,0.189,0.315,0,0,1,1.1335,0.18125,0.5475000000000001,-0.8934243161532773
77,10,0.6,0.47,0.15,3,0.363,0.194,0.305,1,0,0,1.1380000000000001,0.1815,0.5469999999999999,-0.879111676360343
78,11,0.555,0.425,0.14,3,0.282,0.1595,0.285,1,0,0,1.2735,0.141,0.5680000000000001,-0.8707166063283771
79,14,0.615,0.475,0.17,4,0.4695,0.2355,0.345,1,0,0,1.9500000000000002,0.1565,0.5605,-0.8380977052240949
80,9,0.575,0.445,0.14,3,0.3845,0.252,0.285,1,0,0,1.0785,0.19225,0.46549999999999997,-0.7340837699948666
81,12,0.62,0.51,0.175,4,0.5105,0.192,0.675,0,0,1,1.6225,0.17016666666666666,1.1895000000000002,-1.8145566170231082
82,16,0.52,0.425,0.165,3,0.396,0.225,0.32,1,0,0,1.059,0.198,0.574,-0.9462455983558833
83,21,0.595,0.475,0.16,4,0.408,0.234,0.58,0,0,1,1.778,0.13599999999999998,1.072,-1.667517252218002
84,14,0.58,0.45,0.14,4,0.38,0.216,0.36,0,0,1,2.044,0.12666666666666668,0.62,-0.9141488688561772
85,12,0.57,0.465,0.18,4,0.339,0.2225,0.44,1,0,0,1.9985,0.113,0.901,-1.3679427259892547
86,13,0.625,0.465,0.14,4,0.4825,0.205,0.4,0,0,1,1.9125,0.16083333333333333,0.5975000000000001,-0.9100528509632984
87,10,0.56,0.44,0.16,3,0.3305,0.2075,0.26,0,0,1,1.202,0.16525,0.5095000000000001,-0.7820003206142654
88,9,0.46,0.355,0.13,3,0.2205,0.114,0.165,1,0,0,1.5005,0.11025,0.36950000000000005,-0.44109309151608944
89,12,0.575,0.45,0.16,3,0.3135,0.231,0.33,1,0,0,1.1255,0.15675,0.6665,-1.057204653297494
90,15,0.565,0.425,0.135,3,0.341,0.1675,0.255,0,0,1,1.2365,0.1705,0.439,-0.6487872414849605
91,12,0.555,0.44,0.15,3,0.307,0.1525,0.26,0,0,1,1.2805,0.1535,0.5130000000000001,-0.7860679501190557
92,13,0.595,0.465,0.175,4,0.4015,0.254,0.39,0,0,1,1.9545,0.13383333333333333,0.7284999999999999,-1.0917260587847246
93,10,0.625,0.495,0.165,4,0.507,0.318,0.39,1,0,0,1.7850000000000001,0.169,0.6030000000000001,-0.9454816209039841
94,15,0.695,0.56,0.19,4,0.588,0.3425,0.485,0,0,1,1.5845,0.19599999999999998,0.7620000000000001,-1.2499717476930725
95,14,0.665,0.535,0.195,4,0.5755,0.388,0.48,0,0,1,1.5565,0.19183333333333333,0.7745000000000001,-1.2542074414483217
96,9,0.535,0.435,0.15,3,0.269,0.1385,0.25,0,0,1,1.3425,0.1345,0.531,-0.8095198376072981
97,8,0.47,0.375,0.13,3,0.214,0.132,0.145,0,0,1,1.509,0.107,0.3360000000000001,-0.37808158996633934
98,7,0.47,0.37,0.13,3,0.201,0.133,0.165,0,0,1,1.501,0.1005,0.38900000000000007,-0.4818898078977655
99,10,0.475,0.375,0.125,3,0.2775,0.085,0.155,1,0,0,1.4825,0.13875,0.28250000000000003,-0.29391960489551994
100,7,0.36,0.265,0.095,2,0.105,0.046,0.075,0,1,0,0.774,0.105,0.235,-0.209404783334795
101,15,0.55,0.435,0.145,3,0.328,0.1915,0.255,0,0,1,1.2254999999999998,0.164,0.47200000000000003,-0.7194140387847414
102,15,0.53,0.435,0.16,3,0.316,0.164,0.335,0,0,1,1.185,0.158,0.6739999999999999,-1.0930456785314473
103,10,0.53,0.415,0.14,3,0.3105,0.1675,0.205,0,0,1,1.3170000000000002,0.15525,0.37949999999999995,-0.5216846557041871
104,12,0.605,0.47,0.16,4,0.4975,0.2405,0.345,0,0,1,1.917,0.16583333333333333,0.5125,-0.7750294495272257
105,12,0.52,0.41,0.155,3,0.291,0.1835,0.235,1,0,0,1.2905,0.1455,0.48900000000000005,-0.7222791147565907
106,11,0.545,0.43,0.165,3,0.2935,0.183,0.28,1,0,0,1.2435,0.14675,0.5965000000000001,-0.9234531444223193
107,10,0.5,0.4,0.125,3,0.261,0.1315,0.22,1,0,0,1.3875,0.1305,0.42899999999999994,-0.609165322566795
108,9,0.51,0.39,0.135,3,0.231,0.179,0.2,1,0,0,1.39,0.1155,0.43900000000000006,-0.5920542851287752
109,9,0.435,0.395,0.105,2,0.136,0.098,0.13,1,0,0,0.636,0.136,0.33399999999999996,-0.5669608499038229
110,9,0.495,0.395,0.125,3,0.2375,0.1345,0.155,0,0,1,1.4729999999999999,0.11875,0.32250000000000006,-0.37187451364500784
111,9,0.465,0.36,0.105,2,0.172,0.107,0.175,0,0,1,0.546,0.172,0.38799999999999996,-0.6562650606810483
112,9,0.435,0.32,0.08,2,0.1485,0.0635,0.105,0,1,0,0.683,0.1485,0.2215,-0.21325227705299582
113,9,0.425,0.35,0.105,2,0.13,0.063,0.165,0,0,1,0.642,0.13,0.41000000000000003,-0.7132641283795214
114,11,0.545,0.41,0.125,3,0.2975,0.146,0.21,1,0,0,1.3465,0.14875,0.37249999999999994,-0.49560703896918634
115,11,0.53,0.415,0.115,3,0.233,0.1585,0.18,1,0,0,1.4285,0.1165,0.357,-0.450528467951511
116,11,0.49,0.375,0.135,3,0.2555,0.102,0.22,1,0,0,1.4224999999999999,0.12775,0.45449999999999996,-0.6369351014143632
117,10,0.44,0.34,0.105,2,0.1305,0.0955,0.165,0,0,1,0.609,0.1305,0.40950000000000003,-0.6906906109062381
118,9,0.56,0.43,0.15,3,0.3465,0.172,0.31,1,0,0,1.1715,0.17325,0.5734999999999999,-0.907164312444596
119,8,0.405,0.305,0.085,2,0.1145,0.0595,0.085,0,0,1,0.741,0.1145,0.22550000000000003,-0.2044081807601482
120,9,0.47,0.365,0.105,2,0.163,0.1035,0.14,1,0,0,0.5934999999999999,0.163,0.32699999999999996,-0.5061128003237346
121,7,0.385,0.295,0.085,2,0.103,0.0575,0.085,0,1,0,0.7545,0.103,0.23700000000000004,-0.23388016630208605
122,14,0.515,0.425,0.14,3,0.304,0.1725,0.255,1,0,0,1.2685,0.152,0.48600000000000004,-0.7502409575739926
123,6,0.37,0.265,0.075,2,0.09,0.051,0.07,0,0,1,0.789,0.09,0.20000000000000004,-0.10317039837914255
124,6,0.36,0.28,0.08,2,0.081,0.0505,0.07,0,1,0,0.7985,0.081,0.21900000000000003,-0.1762433696260587
125,5,0.27,0.195,0.06,2,0.0285,0.0235,0.03,0,1,0,0.918,0.0285,0.1515,0.06539900777449978
126,6,0.375,0.275,0.09,2,0.1075,0.0545,0.07,0,1,0,0.768,0.1075,0.21250000000000002,-0.14622433062015325
127,8,0.385,0.29,0.085,2,0.112,0.061,0.08,0,1,0,0.747,0.112,0.21800000000000003,-0.17790808098343278
128,19,0.7,0.535,0.16,4,0.63,0.2635,0.54,0,0,1,1.5665,0.21,0.7700000000000001,-1.2744322554634762
129,18,0.71,0.54,0.165,4,0.7665,0.261,0.78,0,0,1,1.1925000000000001,0.2555,1.1235000000000002,-1.8590113728418525
130,17,0.595,0.48,0.165,4,0.4835,0.283,0.41,0,0,1,1.8235000000000001,0.16116666666666665,0.6664999999999999,-1.0457670508731256
131,9,0.44,0.35,0.125,2,0.175,0.063,0.129,1,0,0,0.633,0.175,0.333,-0.5170378015742334
132,7,0.325,0.26,0.09,2,0.085,0.036,0.062,1,0,0,0.817,0.085,0.21899999999999997,-0.1787493570277968
133,7,0.35,0.26,0.095,2,0.086,0.056,0.068,0,1,0,0.79,0.086,0.24000000000000002,-0.21888821164487623
134,7,0.265,0.2,0.065,2,0.04,0.0205,0.028,0,1,0,0.9115,0.04,0.146,0.0768624166394862
135,8,0.425,0.33,0.115,2,0.1635,0.081,0.1355,1,0,0,0.62,0.1635,0.3375,-0.5207763899643669
136,7,0.305,0.23,0.08,2,0.0675,0.0345,0.048,1,0,0,0.85,0.0675,0.1885,-0.0677438230343076
137,9,0.345,0.255,0.09,2,0.094,0.0295,0.063,0,0,1,0.8135,0.094,0.212,-0.13937723206124272
138,9,0.405,0.325,0.11,2,0.151,0.063,0.117,1,0,0,0.669,0.151,0.30300000000000005,-0.438729133973221
139,9,0.375,0.285,0.095,2,0.096,0.0575,0.0925,0,0,1,0.754,0.096,0.279,-0.3422914711515026
140,10,0.565,0.445,0.155,3,0.341,0.2055,0.2475,1,0,0,1.206,0.1705,0.4639999999999999,-0.7067248674729745
141,10,0.55,0.45,0.145,3,0.295,0.1435,0.2665,1,0,0,1.295,0.1475,0.528,-0.8242236620098344
142,16,0.65,0.52,0.19,4,0.519,0.306,0.4465,0,0,1,1.7285,0.17300000000000001,0.7540000000000001,-1.192304048620876
143,11,0.56,0.455,0.155,3,0.34,0.19,0.2425,0,0,1,1.2275,0.17,0.4549999999999999,-0.7027028149418661
144,10,0.475,0.375,0.13,3,0.2075,0.1165,0.17,0,0,1,1.506,0.10375,0.39250000000000007,-0.49418878600866223
145,10,0.49,0.38,0.125,3,0.245,0.1075,0.174,1,0,0,1.4735,0.1225,0.353,-0.42678316167616015
146,10,0.46,0.35,0.12,3,0.224,0.108,0.1565,0,0,1,1.5114999999999998,0.112,0.32899999999999996,-0.35377334109868697
147,9,0.28,0.205,0.08,2,0.052,0.039,0.042,0,1,0,0.867,0.052,0.192,-0.07679012857101564
148,5,0.175,0.13,0.055,2,0.0105,0.0065,0.0125,0,1,0,0.9705,0.0105,0.12450000000000001,0.10171720486689473
149,4,0.17,0.13,0.095,2,0.013,0.008,0.01,0,1,0,0.969,0.013,0.19699999999999998,-0.2126072347643464
150,15,0.59,0.475,0.145,4,0.4415,0.262,0.325,0,0,1,1.9715,0.14716666666666667,0.49849999999999994,-0.7430830166115496
151,9,0.605,0.5,0.185,4,0.469,0.2585,0.335,1,0,0,1.9375,0.15633333333333332,0.5710000000000001,-0.8777147618462715
152,10,0.635,0.515,0.19,4,0.5065,0.305,0.45,1,0,0,1.7385000000000002,0.1688333333333333,0.7735000000000001,-1.2222277086542492
153,10,0.605,0.485,0.16,4,0.37,0.2355,0.355,1,0,0,2.0395000000000003,0.12333333333333334,0.66,-0.9790053163070022
154,12,0.565,0.45,0.135,3,0.387,0.1495,0.31,1,0,0,1.1535,0.1935,0.503,-0.8200417983223192
155,10,0.515,0.405,0.13,3,0.32,0.131,0.21,0,0,1,1.339,0.16,0.35999999999999993,-0.4891123307647527
156,13,0.575,0.46,0.19,3,0.392,0.2425,0.34,1,0,0,1.0254999999999999,0.196,0.668,-1.0868087136564888
157,16,0.645,0.485,0.215,4,0.546,0.2615,0.635,0,0,1,1.5574999999999999,0.18200000000000002,1.154,-1.773794365193344
158,13,0.58,0.455,0.17,3,0.374,0.2135,0.285,1,0,0,1.1275,0.187,0.5359999999999999,-0.8498018315607887
159,13,0.575,0.46,0.165,4,0.2985,0.1785,0.44,1,0,0,2.083,0.09949999999999999,0.9115,-1.3712131037714692
160,13,0.605,0.465,0.165,4,0.4215,0.2475,0.34,0,0,1,1.9909999999999999,0.14049999999999999,0.5885,-0.8610195141112441
161,13,0.605,0.485,0.16,4,0.53,0.2575,0.28,1,0,0,1.9324999999999999,0.17666666666666667,0.3500000000000001,-0.5269188062249107
162,12,0.61,0.485,0.175,4,0.544,0.297,0.345,0,0,1,1.814,0.18133333333333335,0.496,-0.7756561280663399
163,18,0.725,0.56,0.21,4,0.65,0.398,1.005,1,0,0,0.9470000000000001,0.21666666666666667,1.7799999999999998,-2.8655978694647515
164,16,0.65,0.545,0.23,4,0.5605,0.2895,0.815,1,0,0,1.335,0.18683333333333332,1.5294999999999999,-2.534822447309165
165,14,0.725,0.57,0.19,4,1.0705,0.483,0.725,0,0,1,1.7214999999999998,0.267625,0.7595000000000001,-1.4812468037080078
166,20,0.725,0.575,0.175,4,0.765,0.4515,0.85,1,0,0,0.9335,0.255,1.2849999999999997,-1.943376698595627
167,20,0.68,0.57,0.205,4,0.625,0.408,0.65,1,0,0,1.3170000000000002,0.20833333333333334,1.085,-1.7478534939637775
168,14,0.705,0.56,0.22,4,0.8175,0.3085,0.76,0,0,1,1.114,0.2725,1.1425,-1.888800182304562
169,12,0.68,0.515,0.175,4,0.5125,0.409,0.62,1,0,0,1.4585,0.1708333333333333,1.0775,-1.6704919380078693
170,14,0.695,0.55,0.215,4,0.7125,0.541,0.59,0,0,1,1.1564999999999999,0.23750000000000002,0.8974999999999999,-1.4932304548254487
171,7,0.53,0.395,0.145,3,0.308,0.169,0.255,1,0,0,1.268,0.154,0.49200000000000005,-0.7228194965564289
172,8,0.525,0.435,0.155,4,0.486,0.233,0.285,0,0,1,1.996,0.162,0.3939999999999999,-0.5625635337924169
173,8,0.52,0.405,0.115,3,0.32,0.1845,0.22,1,0,0,1.2755,0.16,0.35000000000000003,-0.47381063843781407
174,5,0.235,0.16,0.04,2,0.0185,0.018,0.015,0,1,0,0.9485,0.0185,0.0915,0.3004115720249209
175,7,0.36,0.26,0.09,2,0.0645,0.037,0.075,0,1,0,0.8235,0.0645,0.26549999999999996,-0.28213320162880823
176,5,0.315,0.21,0.06,2,0.06,0.0375,0.035,0,1,0,0.8674999999999999,0.06,0.13,0.15166341330292196
177,8,0.315,0.245,0.085,2,0.053,0.0475,0.05,0,1,0,0.8494999999999999,0.053,0.21700000000000003,-0.1562668508807452
178,4,0.225,0.16,0.045,2,0.025,0.015,0.015,0,1,0,0.945,0.025,0.095,0.2768897077907087
179,11,0.58,0.475,0.15,3,0.385,0.2165,0.35,0,0,1,1.0485,0.1925,0.615,-1.0272906603894647
180,14,0.57,0.48,0.18,3,0.399,0.2,0.295,0,0,1,1.106,0.1995,0.5509999999999999,-0.9141885175031893
181,21,0.64,0.51,0.175,4,0.515,0.266,0.57,0,0,1,1.649,0.17166666666666666,0.9749999999999998,-1.5474835561403262
182,10,0.56,0.45,0.16,4,0.429,0.268,0.3,1,0,0,2.003,0.143,0.49099999999999994,-0.7066689538769722
183,10,0.62,0.475,0.175,4,0.4355,0.214,0.325,1,0,0,2.0255,0.14516666666666667,0.5645,-0.8225609301125969
184,12,0.645,0.51,0.2,4,0.621,0.367,0.46,1,0,0,1.552,0.207,0.6990000000000001,-1.1433262005179685
185,13,0.62,0.49,0.19,4,0.5455,0.2965,0.355,0,0,1,1.803,0.18183333333333332,0.5444999999999999,-0.8513749440876235
186,12,0.63,0.48,0.15,4,0.392,0.336,0.285,1,0,0,1.987,0.13066666666666668,0.47799999999999987,-0.6659659761102134
187,10,0.63,0.5,0.185,4,0.54,0.3315,0.38,1,0,0,1.7485,0.18000000000000002,0.5899999999999999,-0.931864747479028
188,11,0.63,0.48,0.16,4,0.5265,0.335,0.315,1,0,0,1.8235000000000001,0.1755,0.4235,-0.6358883383109534
189,9,0.585,0.46,0.17,3,0.365,0.271,0.29,1,0,0,1.074,0.1825,0.5549999999999999,-0.8816397363558497
190,13,0.615,0.48,0.18,4,0.4845,0.2165,0.325,0,0,1,1.974,0.1615,0.5255000000000001,-0.7859653131349914
191,12,0.61,0.485,0.17,4,0.419,0.2405,0.36,0,0,1,1.9805000000000001,0.13966666666666666,0.641,-0.9619648366091609
192,14,0.58,0.45,0.15,3,0.276,0.1815,0.36,0,0,1,1.1825,0.138,0.744,-1.169208194022521
193,8,0.355,0.275,0.085,2,0.092,0.06,0.15,0,1,0,0.698,0.092,0.378,-0.6573422140245563
194,10,0.51,0.4,0.14,3,0.459,0.1965,0.195,1,0,0,1.1495,0.2295,0.21100000000000002,-0.24621149454854946
195,12,0.5,0.405,0.155,3,0.346,0.1535,0.245,0,0,1,1.2555,0.173,0.45400000000000007,-0.6880893850101973
196,11,0.505,0.41,0.15,3,0.285,0.145,0.21,1,0,0,1.36,0.1425,0.435,-0.6240260002940714
197,16,0.64,0.5,0.185,4,0.4445,0.2635,0.465,0,0,1,1.827,0.14816666666666667,0.8555,-1.3106131400531882
198,15,0.56,0.45,0.16,3,0.432,0.178,0.26,0,0,1,1.13,0.216,0.4080000000000001,-0.6519711238289531
199,10,0.585,0.46,0.185,3,0.3635,0.213,0.285,0,0,1,1.1385,0.18175,0.5765,-0.9103336404314162
200,9,0.45,0.345,0.12,2,0.1655,0.095,0.135,1,0,0,0.6045,0.1655,0.34450000000000003,-0.5317381438605616
201,13,0.5,0.4,0.165,3,0.254,0.205,0.285,0,0,1,1.256,0.127,0.6459999999999999,-1.0086601286632497
202,12,0.5,0.4,0.145,3,0.234,0.1465,0.23,1,0,0,1.3895,0.117,0.516,-0.7602163191615581
203,13,0.53,0.435,0.17,3,0.2985,0.155,0.275,1,0,0,1.2715,0.14925,0.5915000000000001,-0.9279147177708056
204,8,0.42,0.335,0.115,2,0.171,0.071,0.12,0,0,1,0.638,0.171,0.29899999999999993,-0.43389558091579616
205,9,0.44,0.34,0.14,2,0.186,0.1085,0.16,1,0,0,0.5455,0.186,0.4140000000000001,-0.6986687949768198
206,9,0.4,0.3,0.11,2,0.109,0.067,0.12,0,1,0,0.704,0.109,0.351,-0.5280871363311301
207,8,0.435,0.34,0.11,2,0.1495,0.085,0.12,0,1,0,0.6455,0.1495,0.3105,-0.4510833483980847
208,13,0.525,0.415,0.17,3,0.2755,0.1685,0.31,1,0,0,1.246,0.13775,0.6844999999999999,-1.0746238921751408
209,7,0.37,0.28,0.095,2,0.122,0.052,0.08,0,1,0,0.746,0.122,0.22799999999999998,-0.20465658855294605
210,10,0.49,0.365,0.145,3,0.1995,0.1625,0.22,1,0,0,1.4180000000000001,0.09975,0.5305,-0.7529514859838162
211,7,0.335,0.25,0.09,2,0.0755,0.0415,0.06,0,0,1,0.823,0.0755,0.22449999999999998,-0.17337645505501662
212,12,0.415,0.325,0.105,2,0.1595,0.0785,0.12,1,0,0,0.642,0.1595,0.2905,-0.40583621033278516
213,9,0.5,0.405,0.14,3,0.241,0.1355,0.205,0,0,1,1.4184999999999999,0.1205,0.44899999999999995,-0.6352949609803134
